"","CODI_INE","barri","nivell_soroll_TVLDEN","sexe","edat","value"
"1","2-7-05","El Palau","65 - 69 dB","DONES","00-16",15
"2","2-7-05","El Palau","65 - 69 dB","DONES","17-29",10
"3","2-7-05","El Palau","65 - 69 dB","DONES","30-49",36
"4","2-7-05","El Palau","65 - 69 dB","DONES","50-69",9
"5","2-7-05","El Palau","65 - 69 dB","DONES","70",8
"6","2-7-05","El Palau","65 - 69 dB","HOMES","00-16",20
"7","2-7-05","El Palau","65 - 69 dB","HOMES","17-29",7
"8","2-7-05","El Palau","65 - 69 dB","HOMES","30-49",35
"9","2-7-05","El Palau","65 - 69 dB","HOMES","50-69",11
"10","2-7-05","El Palau","65 - 69 dB","HOMES","70",7
"11","1-2-11","Centre","70 - 74 dB","DONES","00-16",31
"12","1-2-11","Centre","70 - 74 dB","DONES","17-29",25
"13","1-2-11","Centre","70 - 74 dB","DONES","30-49",64
"14","1-2-11","Centre","70 - 74 dB","DONES","50-69",50
"15","1-2-11","Centre","70 - 74 dB","DONES","70",29
"16","1-2-11","Centre","70 - 74 dB","HOMES","00-16",27
"17","1-2-11","Centre","70 - 74 dB","HOMES","17-29",26
"18","1-2-11","Centre","70 - 74 dB","HOMES","30-49",54
"19","1-2-11","Centre","70 - 74 dB","HOMES","50-69",43
"20","1-2-11","Centre","70 - 74 dB","HOMES","70",26
"21","4-9-11","Cirera","55 - 59 dB","DONES","00-16",26
"22","4-9-11","Cirera","55 - 59 dB","DONES","17-29",17
"23","4-9-11","Cirera","55 - 59 dB","DONES","30-49",48
"24","4-9-11","Cirera","55 - 59 dB","DONES","50-69",44
"25","4-9-11","Cirera","55 - 59 dB","DONES","70",28
"26","4-9-11","Cirera","55 - 59 dB","HOMES","00-16",25
"27","4-9-11","Cirera","55 - 59 dB","HOMES","17-29",20
"28","4-9-11","Cirera","55 - 59 dB","HOMES","30-49",40
"29","4-9-11","Cirera","55 - 59 dB","HOMES","50-69",40
"30","4-9-11","Cirera","55 - 59 dB","HOMES","70",28
"31","4-9-10","Cirera","55 - 59 dB","DONES","00-16",32
"32","4-9-10","Cirera","55 - 59 dB","DONES","17-29",17
"33","4-9-10","Cirera","55 - 59 dB","DONES","30-49",53
"34","4-9-10","Cirera","55 - 59 dB","DONES","50-69",30
"35","4-9-10","Cirera","55 - 59 dB","DONES","70",21
"36","4-9-10","Cirera","55 - 59 dB","HOMES","00-16",34
"37","4-9-10","Cirera","55 - 59 dB","HOMES","17-29",16
"38","4-9-10","Cirera","55 - 59 dB","HOMES","30-49",50
"39","4-9-10","Cirera","55 - 59 dB","HOMES","50-69",34
"40","4-9-10","Cirera","55 - 59 dB","HOMES","70",14
"41","2-11-13","El Palau","65 - 69 dB","DONES","00-16",33
"42","2-11-13","El Palau","65 - 69 dB","DONES","17-29",7
"43","2-11-13","El Palau","65 - 69 dB","DONES","30-49",53
"44","2-11-13","El Palau","65 - 69 dB","DONES","50-69",18
"45","2-11-13","El Palau","65 - 69 dB","DONES","70",6
"46","2-11-13","El Palau","65 - 69 dB","HOMES","00-16",39
"47","2-11-13","El Palau","65 - 69 dB","HOMES","17-29",9
"48","2-11-13","El Palau","65 - 69 dB","HOMES","30-49",57
"49","2-11-13","El Palau","65 - 69 dB","HOMES","50-69",19
"50","2-11-13","El Palau","65 - 69 dB","HOMES","70",3
"51","2-4-14","El Palau","55 - 59 dB","DONES","00-16",15
"52","2-4-14","El Palau","55 - 59 dB","DONES","17-29",8
"53","2-4-14","El Palau","55 - 59 dB","DONES","30-49",15
"54","2-4-14","El Palau","55 - 59 dB","DONES","50-69",10
"55","2-4-14","El Palau","55 - 59 dB","DONES","70",6
"56","2-4-14","El Palau","55 - 59 dB","HOMES","00-16",11
"57","2-4-14","El Palau","55 - 59 dB","HOMES","17-29",11
"58","2-4-14","El Palau","55 - 59 dB","HOMES","30-49",20
"59","2-4-14","El Palau","55 - 59 dB","HOMES","50-69",12
"60","2-4-14","El Palau","55 - 59 dB","HOMES","70",4
"61","2-4-16","El Palau","55 - 59 dB","DONES","00-16",6
"62","2-4-16","El Palau","55 - 59 dB","DONES","17-29",5
"63","2-4-16","El Palau","55 - 59 dB","DONES","30-49",10
"64","2-4-16","El Palau","55 - 59 dB","DONES","50-69",8
"65","2-4-16","El Palau","55 - 59 dB","DONES","70",3
"66","2-4-16","El Palau","55 - 59 dB","HOMES","00-16",9
"67","2-4-16","El Palau","55 - 59 dB","HOMES","17-29",4
"68","2-4-16","El Palau","55 - 59 dB","HOMES","30-49",11
"69","2-4-16","El Palau","55 - 59 dB","HOMES","50-69",13
"70","2-4-16","El Palau","55 - 59 dB","HOMES","70",3
"71","2-4-13","El Palau","55 - 59 dB","DONES","00-16",10
"72","2-4-13","El Palau","55 - 59 dB","DONES","17-29",3
"73","2-4-13","El Palau","55 - 59 dB","DONES","30-49",11
"74","2-4-13","El Palau","55 - 59 dB","DONES","50-69",4
"75","2-4-13","El Palau","55 - 59 dB","DONES","70",5
"76","2-4-13","El Palau","55 - 59 dB","HOMES","00-16",8
"77","2-4-13","El Palau","55 - 59 dB","HOMES","17-29",1
"78","2-4-13","El Palau","55 - 59 dB","HOMES","30-49",17
"79","2-4-13","El Palau","55 - 59 dB","HOMES","50-69",7
"80","2-4-13","El Palau","55 - 59 dB","HOMES","70",4
"81","2-4-12","El Palau","60 - 64 dB","DONES","00-16",6
"82","2-4-12","El Palau","60 - 64 dB","DONES","17-29",2
"83","2-4-12","El Palau","60 - 64 dB","DONES","30-49",8
"84","2-4-12","El Palau","60 - 64 dB","DONES","50-69",1
"85","2-4-12","El Palau","60 - 64 dB","DONES","70",4
"86","2-4-12","El Palau","60 - 64 dB","HOMES","00-16",4
"87","2-4-12","El Palau","60 - 64 dB","HOMES","17-29",0
"88","2-4-12","El Palau","60 - 64 dB","HOMES","30-49",8
"89","2-4-12","El Palau","60 - 64 dB","HOMES","50-69",0
"90","2-4-12","El Palau","60 - 64 dB","HOMES","70",3
"91","2-4-17","El Palau","60 - 64 dB","DONES","00-16",30
"92","2-4-17","El Palau","60 - 64 dB","DONES","17-29",34
"93","2-4-17","El Palau","60 - 64 dB","DONES","30-49",75
"94","2-4-17","El Palau","60 - 64 dB","DONES","50-69",62
"95","2-4-17","El Palau","60 - 64 dB","DONES","70",34
"96","2-4-17","El Palau","60 - 64 dB","HOMES","00-16",41
"97","2-4-17","El Palau","60 - 64 dB","HOMES","17-29",34
"98","2-4-17","El Palau","60 - 64 dB","HOMES","30-49",84
"99","2-4-17","El Palau","60 - 64 dB","HOMES","50-69",80
"100","2-4-17","El Palau","60 - 64 dB","HOMES","70",23
"101","2-4-06","El Palau","55 - 59 dB","DONES","00-16",14
"102","2-4-06","El Palau","55 - 59 dB","DONES","17-29",21
"103","2-4-06","El Palau","55 - 59 dB","DONES","30-49",25
"104","2-4-06","El Palau","55 - 59 dB","DONES","50-69",48
"105","2-4-06","El Palau","55 - 59 dB","DONES","70",24
"106","2-4-06","El Palau","55 - 59 dB","HOMES","00-16",9
"107","2-4-06","El Palau","55 - 59 dB","HOMES","17-29",23
"108","2-4-06","El Palau","55 - 59 dB","HOMES","30-49",32
"109","2-4-06","El Palau","55 - 59 dB","HOMES","50-69",37
"110","2-4-06","El Palau","55 - 59 dB","HOMES","70",22
"111","2-4-09","El Palau","55 - 59 dB","DONES","00-16",40
"112","2-4-09","El Palau","55 - 59 dB","DONES","17-29",29
"113","2-4-09","El Palau","55 - 59 dB","DONES","30-49",56
"114","2-4-09","El Palau","55 - 59 dB","DONES","50-69",33
"115","2-4-09","El Palau","55 - 59 dB","DONES","70",8
"116","2-4-09","El Palau","55 - 59 dB","HOMES","00-16",44
"117","2-4-09","El Palau","55 - 59 dB","HOMES","17-29",38
"118","2-4-09","El Palau","55 - 59 dB","HOMES","30-49",75
"119","2-4-09","El Palau","55 - 59 dB","HOMES","50-69",40
"120","2-4-09","El Palau","55 - 59 dB","HOMES","70",2
"121","2-4-11","El Palau","55 - 59 dB","DONES","00-16",10
"122","2-4-11","El Palau","55 - 59 dB","DONES","17-29",11
"123","2-4-11","El Palau","55 - 59 dB","DONES","30-49",19
"124","2-4-11","El Palau","55 - 59 dB","DONES","50-69",18
"125","2-4-11","El Palau","55 - 59 dB","DONES","70",7
"126","2-4-11","El Palau","55 - 59 dB","HOMES","00-16",10
"127","2-4-11","El Palau","55 - 59 dB","HOMES","17-29",13
"128","2-4-11","El Palau","55 - 59 dB","HOMES","30-49",28
"129","2-4-11","El Palau","55 - 59 dB","HOMES","50-69",16
"130","2-4-11","El Palau","55 - 59 dB","HOMES","70",4
"131","2-4-10","El Palau","55 - 59 dB","DONES","00-16",11
"132","2-4-10","El Palau","55 - 59 dB","DONES","17-29",8
"133","2-4-10","El Palau","55 - 59 dB","DONES","30-49",15
"134","2-4-10","El Palau","55 - 59 dB","DONES","50-69",7
"135","2-4-10","El Palau","55 - 59 dB","DONES","70",6
"136","2-4-10","El Palau","55 - 59 dB","HOMES","00-16",15
"137","2-4-10","El Palau","55 - 59 dB","HOMES","17-29",9
"138","2-4-10","El Palau","55 - 59 dB","HOMES","30-49",30
"139","2-4-10","El Palau","55 - 59 dB","HOMES","50-69",13
"140","2-4-10","El Palau","55 - 59 dB","HOMES","70",4
"141","2-4-08","El Palau","60 - 64 dB","DONES","00-16",5
"142","2-4-08","El Palau","60 - 64 dB","DONES","17-29",3
"143","2-4-08","El Palau","60 - 64 dB","DONES","30-49",9
"144","2-4-08","El Palau","60 - 64 dB","DONES","50-69",4
"145","2-4-08","El Palau","60 - 64 dB","DONES","70",4
"146","2-4-08","El Palau","60 - 64 dB","HOMES","00-16",5
"147","2-4-08","El Palau","60 - 64 dB","HOMES","17-29",6
"148","2-4-08","El Palau","60 - 64 dB","HOMES","30-49",10
"149","2-4-08","El Palau","60 - 64 dB","HOMES","50-69",10
"150","2-4-08","El Palau","60 - 64 dB","HOMES","70",1
"151","2-4-05","El Palau","60 - 64 dB","DONES","00-16",43
"152","2-4-05","El Palau","60 - 64 dB","DONES","17-29",29
"153","2-4-05","El Palau","60 - 64 dB","DONES","30-49",43
"154","2-4-05","El Palau","60 - 64 dB","DONES","50-69",29
"155","2-4-05","El Palau","60 - 64 dB","DONES","70",18
"156","2-4-05","El Palau","60 - 64 dB","HOMES","00-16",46
"157","2-4-05","El Palau","60 - 64 dB","HOMES","17-29",51
"158","2-4-05","El Palau","60 - 64 dB","HOMES","30-49",62
"159","2-4-05","El Palau","60 - 64 dB","HOMES","50-69",50
"160","2-4-05","El Palau","60 - 64 dB","HOMES","70",11
"161","2-4-07","El Palau","60 - 64 dB","DONES","00-16",10
"162","2-4-07","El Palau","60 - 64 dB","DONES","17-29",3
"163","2-4-07","El Palau","60 - 64 dB","DONES","30-49",10
"164","2-4-07","El Palau","60 - 64 dB","DONES","50-69",3
"165","2-4-07","El Palau","60 - 64 dB","DONES","70",5
"166","2-4-07","El Palau","60 - 64 dB","HOMES","00-16",9
"167","2-4-07","El Palau","60 - 64 dB","HOMES","17-29",2
"168","2-4-07","El Palau","60 - 64 dB","HOMES","30-49",10
"169","2-4-07","El Palau","60 - 64 dB","HOMES","50-69",5
"170","2-4-07","El Palau","60 - 64 dB","HOMES","70",5
"171","5-16-09","Cerdanyola","55 - 59 dB","DONES","00-16",20
"172","5-16-09","Cerdanyola","55 - 59 dB","DONES","17-29",6
"173","5-16-09","Cerdanyola","55 - 59 dB","DONES","30-49",41
"174","5-16-09","Cerdanyola","55 - 59 dB","DONES","50-69",11
"175","5-16-09","Cerdanyola","55 - 59 dB","DONES","70",9
"176","5-16-09","Cerdanyola","55 - 59 dB","HOMES","00-16",15
"177","5-16-09","Cerdanyola","55 - 59 dB","HOMES","17-29",9
"178","5-16-09","Cerdanyola","55 - 59 dB","HOMES","30-49",44
"179","5-16-09","Cerdanyola","55 - 59 dB","HOMES","50-69",22
"180","5-16-09","Cerdanyola","55 - 59 dB","HOMES","70",9
"181","5-4-15","Cerdanyola","65 - 69 dB","DONES","00-16",6
"182","5-4-15","Cerdanyola","65 - 69 dB","DONES","17-29",0
"183","5-4-15","Cerdanyola","65 - 69 dB","DONES","30-49",10
"184","5-4-15","Cerdanyola","65 - 69 dB","DONES","50-69",2
"185","5-4-15","Cerdanyola","65 - 69 dB","DONES","70",3
"186","5-4-15","Cerdanyola","65 - 69 dB","HOMES","00-16",6
"187","5-4-15","Cerdanyola","65 - 69 dB","HOMES","17-29",0
"188","5-4-15","Cerdanyola","65 - 69 dB","HOMES","30-49",9
"189","5-4-15","Cerdanyola","65 - 69 dB","HOMES","50-69",3
"190","5-4-15","Cerdanyola","65 - 69 dB","HOMES","70",3
"191","6-9-55","El Rengle","65 - 69 dB","DONES","00-16",10
"192","6-9-55","El Rengle","65 - 69 dB","DONES","17-29",12
"193","6-9-55","El Rengle","65 - 69 dB","DONES","30-49",33
"194","6-9-55","El Rengle","65 - 69 dB","DONES","50-69",24
"195","6-9-55","El Rengle","65 - 69 dB","DONES","70",10
"196","6-9-55","El Rengle","65 - 69 dB","HOMES","00-16",23
"197","6-9-55","El Rengle","65 - 69 dB","HOMES","17-29",9
"198","6-9-55","El Rengle","65 - 69 dB","HOMES","30-49",49
"199","6-9-55","El Rengle","65 - 69 dB","HOMES","50-69",29
"200","6-9-55","El Rengle","65 - 69 dB","HOMES","70",9
"201","6-9-56","El Rengle","65 - 69 dB","DONES","00-16",15
"202","6-9-56","El Rengle","65 - 69 dB","DONES","17-29",14
"203","6-9-56","El Rengle","65 - 69 dB","DONES","30-49",32
"204","6-9-56","El Rengle","65 - 69 dB","DONES","50-69",18
"205","6-9-56","El Rengle","65 - 69 dB","DONES","70",2
"206","6-9-56","El Rengle","65 - 69 dB","HOMES","00-16",14
"207","6-9-56","El Rengle","65 - 69 dB","HOMES","17-29",8
"208","6-9-56","El Rengle","65 - 69 dB","HOMES","30-49",43
"209","6-9-56","El Rengle","65 - 69 dB","HOMES","50-69",25
"210","6-9-56","El Rengle","65 - 69 dB","HOMES","70",4
"211","6-9-57","El Rengle","70 - 74 dB","DONES","00-16",20
"212","6-9-57","El Rengle","70 - 74 dB","DONES","17-29",7
"213","6-9-57","El Rengle","70 - 74 dB","DONES","30-49",39
"214","6-9-57","El Rengle","70 - 74 dB","DONES","50-69",1
"215","6-9-57","El Rengle","70 - 74 dB","DONES","70",0
"216","6-9-57","El Rengle","70 - 74 dB","HOMES","00-16",15
"217","6-9-57","El Rengle","70 - 74 dB","HOMES","17-29",12
"218","6-9-57","El Rengle","70 - 74 dB","HOMES","30-49",45
"219","6-9-57","El Rengle","70 - 74 dB","HOMES","50-69",0
"220","6-9-57","El Rengle","70 - 74 dB","HOMES","70",0
"221","4-9-02","Cirera","60 - 64 dB","DONES","00-16",30
"222","4-9-02","Cirera","60 - 64 dB","DONES","17-29",12
"223","4-9-02","Cirera","60 - 64 dB","DONES","30-49",57
"224","4-9-02","Cirera","60 - 64 dB","DONES","50-69",22
"225","4-9-02","Cirera","60 - 64 dB","DONES","70",7
"226","4-9-02","Cirera","60 - 64 dB","HOMES","00-16",40
"227","4-9-02","Cirera","60 - 64 dB","HOMES","17-29",11
"228","4-9-02","Cirera","60 - 64 dB","HOMES","30-49",54
"229","4-9-02","Cirera","60 - 64 dB","HOMES","50-69",18
"230","4-9-02","Cirera","60 - 64 dB","HOMES","70",7
"231","4-8-03","Cirera","60 - 64 dB","DONES","00-16",26
"232","4-8-03","Cirera","60 - 64 dB","DONES","17-29",15
"233","4-8-03","Cirera","60 - 64 dB","DONES","30-49",52
"234","4-8-03","Cirera","60 - 64 dB","DONES","50-69",24
"235","4-8-03","Cirera","60 - 64 dB","DONES","70",11
"236","4-8-03","Cirera","60 - 64 dB","HOMES","00-16",37
"237","4-8-03","Cirera","60 - 64 dB","HOMES","17-29",14
"238","4-8-03","Cirera","60 - 64 dB","HOMES","30-49",41
"239","4-8-03","Cirera","60 - 64 dB","HOMES","50-69",30
"240","4-8-03","Cirera","60 - 64 dB","HOMES","70",7
"241","4-8-04","Cirera","70 - 74 dB","DONES","00-16",59
"242","4-8-04","Cirera","70 - 74 dB","DONES","17-29",29
"243","4-8-04","Cirera","70 - 74 dB","DONES","30-49",83
"244","4-8-04","Cirera","70 - 74 dB","DONES","50-69",46
"245","4-8-04","Cirera","70 - 74 dB","DONES","70",22
"246","4-8-04","Cirera","70 - 74 dB","HOMES","00-16",62
"247","4-8-04","Cirera","70 - 74 dB","HOMES","17-29",25
"248","4-8-04","Cirera","70 - 74 dB","HOMES","30-49",68
"249","4-8-04","Cirera","70 - 74 dB","HOMES","50-69",50
"250","4-8-04","Cirera","70 - 74 dB","HOMES","70",22
"251","4-8-01","Cirera","70 - 74 dB","DONES","00-16",46
"252","4-8-01","Cirera","70 - 74 dB","DONES","17-29",26
"253","4-8-01","Cirera","70 - 74 dB","DONES","30-49",80
"254","4-8-01","Cirera","70 - 74 dB","DONES","50-69",56
"255","4-8-01","Cirera","70 - 74 dB","DONES","70",28
"256","4-8-01","Cirera","70 - 74 dB","HOMES","00-16",49
"257","4-8-01","Cirera","70 - 74 dB","HOMES","17-29",25
"258","4-8-01","Cirera","70 - 74 dB","HOMES","30-49",70
"259","4-8-01","Cirera","70 - 74 dB","HOMES","50-69",49
"260","4-8-01","Cirera","70 - 74 dB","HOMES","70",25
"261","2-7-12","El Palau","65 - 69 dB","DONES","00-16",33
"262","2-7-12","El Palau","65 - 69 dB","DONES","17-29",12
"263","2-7-12","El Palau","65 - 69 dB","DONES","30-49",72
"264","2-7-12","El Palau","65 - 69 dB","DONES","50-69",30
"265","2-7-12","El Palau","65 - 69 dB","DONES","70",12
"266","2-7-12","El Palau","65 - 69 dB","HOMES","00-16",51
"267","2-7-12","El Palau","65 - 69 dB","HOMES","17-29",6
"268","2-7-12","El Palau","65 - 69 dB","HOMES","30-49",66
"269","2-7-12","El Palau","65 - 69 dB","HOMES","50-69",37
"270","2-7-12","El Palau","65 - 69 dB","HOMES","70",16
"271","3-10-04","Els Molins","70 - 74 dB","DONES","00-16",3
"272","3-10-04","Els Molins","70 - 74 dB","DONES","17-29",0
"273","3-10-04","Els Molins","70 - 74 dB","DONES","30-49",5
"274","3-10-04","Els Molins","70 - 74 dB","DONES","50-69",6
"275","3-10-04","Els Molins","70 - 74 dB","DONES","70",4
"276","3-10-04","Els Molins","70 - 74 dB","HOMES","00-16",5
"277","3-10-04","Els Molins","70 - 74 dB","HOMES","17-29",0
"278","3-10-04","Els Molins","70 - 74 dB","HOMES","30-49",3
"279","3-10-04","Els Molins","70 - 74 dB","HOMES","50-69",4
"280","3-10-04","Els Molins","70 - 74 dB","HOMES","70",6
"281","3-12-09","Vista Alegre","65 - 69 dB","DONES","00-16",5
"282","3-12-09","Vista Alegre","65 - 69 dB","DONES","17-29",1
"283","3-12-09","Vista Alegre","65 - 69 dB","DONES","30-49",12
"284","3-12-09","Vista Alegre","65 - 69 dB","DONES","50-69",3
"285","3-12-09","Vista Alegre","65 - 69 dB","DONES","70",0
"286","3-12-09","Vista Alegre","65 - 69 dB","HOMES","00-16",9
"287","3-12-09","Vista Alegre","65 - 69 dB","HOMES","17-29",2
"288","3-12-09","Vista Alegre","65 - 69 dB","HOMES","30-49",9
"289","3-12-09","Vista Alegre","65 - 69 dB","HOMES","50-69",3
"290","3-12-09","Vista Alegre","65 - 69 dB","HOMES","70",1
"291","3-12-10","Vista Alegre","65 - 69 dB","DONES","00-16",22
"292","3-12-10","Vista Alegre","65 - 69 dB","DONES","17-29",13
"293","3-12-10","Vista Alegre","65 - 69 dB","DONES","30-49",32
"294","3-12-10","Vista Alegre","65 - 69 dB","DONES","50-69",14
"295","3-12-10","Vista Alegre","65 - 69 dB","DONES","70",1
"296","3-12-10","Vista Alegre","65 - 69 dB","HOMES","00-16",19
"297","3-12-10","Vista Alegre","65 - 69 dB","HOMES","17-29",13
"298","3-12-10","Vista Alegre","65 - 69 dB","HOMES","30-49",32
"299","3-12-10","Vista Alegre","65 - 69 dB","HOMES","50-69",12
"300","3-12-10","Vista Alegre","65 - 69 dB","HOMES","70",2
"301","3-12-07","Vista Alegre","65 - 69 dB","DONES","00-16",13
"302","3-12-07","Vista Alegre","65 - 69 dB","DONES","17-29",2
"303","3-12-07","Vista Alegre","65 - 69 dB","DONES","30-49",17
"304","3-12-07","Vista Alegre","65 - 69 dB","DONES","50-69",6
"305","3-12-07","Vista Alegre","65 - 69 dB","DONES","70",2
"306","3-12-07","Vista Alegre","65 - 69 dB","HOMES","00-16",11
"307","3-12-07","Vista Alegre","65 - 69 dB","HOMES","17-29",5
"308","3-12-07","Vista Alegre","65 - 69 dB","HOMES","30-49",21
"309","3-12-07","Vista Alegre","65 - 69 dB","HOMES","50-69",9
"310","3-12-07","Vista Alegre","65 - 69 dB","HOMES","70",0
"311","3-12-08","Vista Alegre","65 - 69 dB","DONES","00-16",3
"312","3-12-08","Vista Alegre","65 - 69 dB","DONES","17-29",1
"313","3-12-08","Vista Alegre","65 - 69 dB","DONES","30-49",6
"314","3-12-08","Vista Alegre","65 - 69 dB","DONES","50-69",1
"315","3-12-08","Vista Alegre","65 - 69 dB","DONES","70",0
"316","3-12-08","Vista Alegre","65 - 69 dB","HOMES","00-16",3
"317","3-12-08","Vista Alegre","65 - 69 dB","HOMES","17-29",2
"318","3-12-08","Vista Alegre","65 - 69 dB","HOMES","30-49",5
"319","3-12-08","Vista Alegre","65 - 69 dB","HOMES","50-69",3
"320","3-12-08","Vista Alegre","65 - 69 dB","HOMES","70",0
"321","3-12-06","Vista Alegre","65 - 69 dB","DONES","00-16",6
"322","3-12-06","Vista Alegre","65 - 69 dB","DONES","17-29",3
"323","3-12-06","Vista Alegre","65 - 69 dB","DONES","30-49",8
"324","3-12-06","Vista Alegre","65 - 69 dB","DONES","50-69",3
"325","3-12-06","Vista Alegre","65 - 69 dB","DONES","70",0
"326","3-12-06","Vista Alegre","65 - 69 dB","HOMES","00-16",6
"327","3-12-06","Vista Alegre","65 - 69 dB","HOMES","17-29",4
"328","3-12-06","Vista Alegre","65 - 69 dB","HOMES","30-49",12
"329","3-12-06","Vista Alegre","65 - 69 dB","HOMES","50-69",5
"330","3-12-06","Vista Alegre","65 - 69 dB","HOMES","70",1
"331","2-7-06","El Palau","60 - 64 dB","DONES","00-16",15
"332","2-7-06","El Palau","60 - 64 dB","DONES","17-29",6
"333","2-7-06","El Palau","60 - 64 dB","DONES","30-49",17
"334","2-7-06","El Palau","60 - 64 dB","DONES","50-69",15
"335","2-7-06","El Palau","60 - 64 dB","DONES","70",7
"336","2-7-06","El Palau","60 - 64 dB","HOMES","00-16",7
"337","2-7-06","El Palau","60 - 64 dB","HOMES","17-29",5
"338","2-7-06","El Palau","60 - 64 dB","HOMES","30-49",12
"339","2-7-06","El Palau","60 - 64 dB","HOMES","50-69",10
"340","2-7-06","El Palau","60 - 64 dB","HOMES","70",6
"341","5-2-10","Cerdanyola","55 - 59 dB","DONES","00-16",15
"342","5-2-10","Cerdanyola","55 - 59 dB","DONES","17-29",24
"343","5-2-10","Cerdanyola","55 - 59 dB","DONES","30-49",20
"344","5-2-10","Cerdanyola","55 - 59 dB","DONES","50-69",28
"345","5-2-10","Cerdanyola","55 - 59 dB","DONES","70",7
"346","5-2-10","Cerdanyola","55 - 59 dB","HOMES","00-16",12
"347","5-2-10","Cerdanyola","55 - 59 dB","HOMES","17-29",11
"348","5-2-10","Cerdanyola","55 - 59 dB","HOMES","30-49",32
"349","5-2-10","Cerdanyola","55 - 59 dB","HOMES","50-69",30
"350","5-2-10","Cerdanyola","55 - 59 dB","HOMES","70",5
"351","2-1-08","Eixample","70 - 74 dB","DONES","00-16",12
"352","2-1-08","Eixample","70 - 74 dB","DONES","17-29",13
"353","2-1-08","Eixample","70 - 74 dB","DONES","30-49",28
"354","2-1-08","Eixample","70 - 74 dB","DONES","50-69",20
"355","2-1-08","Eixample","70 - 74 dB","DONES","70",13
"356","2-1-08","Eixample","70 - 74 dB","HOMES","00-16",23
"357","2-1-08","Eixample","70 - 74 dB","HOMES","17-29",11
"358","2-1-08","Eixample","70 - 74 dB","HOMES","30-49",24
"359","2-1-08","Eixample","70 - 74 dB","HOMES","50-69",28
"360","2-1-08","Eixample","70 - 74 dB","HOMES","70",9
"361","2-9-06","El Palau","70 - 74 dB","DONES","00-16",11
"362","2-9-06","El Palau","70 - 74 dB","DONES","17-29",8
"363","2-9-06","El Palau","70 - 74 dB","DONES","30-49",22
"364","2-9-06","El Palau","70 - 74 dB","DONES","50-69",14
"365","2-9-06","El Palau","70 - 74 dB","DONES","70",5
"366","2-9-06","El Palau","70 - 74 dB","HOMES","00-16",17
"367","2-9-06","El Palau","70 - 74 dB","HOMES","17-29",6
"368","2-9-06","El Palau","70 - 74 dB","HOMES","30-49",23
"369","2-9-06","El Palau","70 - 74 dB","HOMES","50-69",15
"370","2-9-06","El Palau","70 - 74 dB","HOMES","70",1
"371","3-14-01","Vista Alegre","60 - 64 dB","DONES","00-16",29
"372","3-14-01","Vista Alegre","60 - 64 dB","DONES","17-29",18
"373","3-14-01","Vista Alegre","60 - 64 dB","DONES","30-49",42
"374","3-14-01","Vista Alegre","60 - 64 dB","DONES","50-69",49
"375","3-14-01","Vista Alegre","60 - 64 dB","DONES","70",22
"376","3-14-01","Vista Alegre","60 - 64 dB","HOMES","00-16",25
"377","3-14-01","Vista Alegre","60 - 64 dB","HOMES","17-29",20
"378","3-14-01","Vista Alegre","60 - 64 dB","HOMES","30-49",39
"379","3-14-01","Vista Alegre","60 - 64 dB","HOMES","50-69",42
"380","3-14-01","Vista Alegre","60 - 64 dB","HOMES","70",26
"381","3-14-01","Vista Alegre","60 - 64 dB","DONES","00-16",29
"382","3-14-01","Vista Alegre","60 - 64 dB","DONES","17-29",18
"383","3-14-01","Vista Alegre","60 - 64 dB","DONES","30-49",42
"384","3-14-01","Vista Alegre","60 - 64 dB","DONES","50-69",49
"385","3-14-01","Vista Alegre","60 - 64 dB","DONES","70",22
"386","3-14-01","Vista Alegre","60 - 64 dB","HOMES","00-16",25
"387","3-14-01","Vista Alegre","60 - 64 dB","HOMES","17-29",20
"388","3-14-01","Vista Alegre","60 - 64 dB","HOMES","30-49",39
"389","3-14-01","Vista Alegre","60 - 64 dB","HOMES","50-69",42
"390","3-14-01","Vista Alegre","60 - 64 dB","HOMES","70",26
"391","3-14-01","Vista Alegre","60 - 64 dB","DONES","00-16",29
"392","3-14-01","Vista Alegre","60 - 64 dB","DONES","17-29",18
"393","3-14-01","Vista Alegre","60 - 64 dB","DONES","30-49",42
"394","3-14-01","Vista Alegre","60 - 64 dB","DONES","50-69",49
"395","3-14-01","Vista Alegre","60 - 64 dB","DONES","70",22
"396","3-14-01","Vista Alegre","60 - 64 dB","HOMES","00-16",25
"397","3-14-01","Vista Alegre","60 - 64 dB","HOMES","17-29",20
"398","3-14-01","Vista Alegre","60 - 64 dB","HOMES","30-49",39
"399","3-14-01","Vista Alegre","60 - 64 dB","HOMES","50-69",42
"400","3-14-01","Vista Alegre","60 - 64 dB","HOMES","70",26
"401","3-14-01","Vista Alegre","60 - 64 dB","DONES","00-16",29
"402","3-14-01","Vista Alegre","60 - 64 dB","DONES","17-29",18
"403","3-14-01","Vista Alegre","60 - 64 dB","DONES","30-49",42
"404","3-14-01","Vista Alegre","60 - 64 dB","DONES","50-69",49
"405","3-14-01","Vista Alegre","60 - 64 dB","DONES","70",22
"406","3-14-01","Vista Alegre","60 - 64 dB","HOMES","00-16",25
"407","3-14-01","Vista Alegre","60 - 64 dB","HOMES","17-29",20
"408","3-14-01","Vista Alegre","60 - 64 dB","HOMES","30-49",39
"409","3-14-01","Vista Alegre","60 - 64 dB","HOMES","50-69",42
"410","3-14-01","Vista Alegre","60 - 64 dB","HOMES","70",26
