;;;;;;
3-12-01;CF2;55 - 59 dB;;;;
3-12-07;D46;65 - 69 dB;;;;
3-12-10;D39;65 - 69 dB;;;;
3-12-06;D37;65 - 69 dB;;;;
3-12-08;D37;65 - 69 dB;;;;
3-12-09;D38;65 - 69 dB;;;;
2-5-07;D08;55 - 59 dB;;;;
3-13-05;1187;70 - 74 dB;;;;
3-13-04;115C;55 - 59 dB;;;;
3-13-02;115C;55 - 59 dB;;;;
3-13-01;115C;55 - 59 dB;;;;
3-13-09;E0A;65 - 69 dB;;;;
3-13-08;E09;65 - 69 dB;;;;
1-13-09;E08;65 - 69 dB;;;;
3-13-12;E0B;65 - 69 dB;;;;
3-13-11;E06;65 - 69 dB;;;;
3-13-10;E07;65 - 69 dB;;;;
3-13-15;1141;70 - 74 dB;;;;
3-13-13;114B;65 - 69 dB;;;;
3-13-16;D7F;65 - 69 dB;;;;
3-14-05;D7B;60 - 64 dB;;;;
3-14-04;1059;60 - 64 dB;;;;
3-14-06;105A;65 - 69 dB;;;;
3-14-03;1060;70 - 74 dB;;;;
3-14-01;D79;60 - 64 dB;;;;
3-14-02;1057;55 - 59 dB;;;;
3-6-06;1054;55 - 59 dB;;;;
3-6-04;1053;55 - 59 dB;;;;
3-6-02;1052;55 - 59 dB;;;;
3-6-07;104E;60 - 64 dB;;;;
3-6-05;104F;60 - 64 dB;;;;
3-6-03;104F;60 - 64 dB;;;;
3-6-10;1041;60 - 64 dB;;;;
3-6-09;1043;60 - 64 dB;;;;
3-6-08;1041;60 - 64 dB;;;;
3-6-14;E0D;60 - 64 dB;;;;
3-6-13;103E;60 - 64 dB;;;;
3-6-12;103F;60 - 64 dB;;;;
3-6-18;1022;55 - 59 dB;;;;
3-6-17;1020;55 - 59 dB;;;;
3-6-16;101F;55 - 59 dB;;;;
3-6-15;101E;55 - 59 dB;;;;
3-5-07;1014;70 - 74 dB;;;;
3-4-07;1011;65 - 69 dB;;;;
3-5-06;1014;70 - 74 dB;;;;
3-9-18;1014;70 - 74 dB;;;;
3-9-17;100A;70 - 74 dB;;;;
3-5-04;100A;70 - 74 dB;;;;
3-5-05;1003;65 - 69 dB;;;;
3-4-06;FFD;65 - 69 dB;;;;
3-4-05;FF8;65 - 69 dB;;;;
3-4-04;1001;65 - 69 dB;;;;
3-4-03;FFB;60 - 64 dB;;;;
3-4-02;FEC;65 - 69 dB;;;;
3-4-01;FF8;65 - 69 dB;;;;
3-5-02;FF8;65 - 69 dB;;;;
3-5-03;1024;70 - 74 dB;;;;
3-3-04;FEC;65 - 69 dB;;;;
3-3-03;FE6;> 75 dB;;;;
